county,candidate,votes,district,party,office
Warren,Tom Raga,47436,67,Republican,State House
Portage,Kathleen Chandler,33331,68,Democratic,State House
Portage,Andrew Manning,18908,68,Republican,State House
Medina,Tom Betti,25229,69,Democratic,State House
Medina,Charles E. Calvert,31244,69,Republican,State House
Greene,Kevin DeWine,38702,70,Republican,State House
Greene,Lawrence W. Gordon,17137,70,Democratic,State House
Licking,David R. Evans,31830,71,Republican,State House
Licking,Geoffrey Judge,23355,71,Democratic,State House
Clark,Merle Grace Kearns,28439,72,Republican,State House
Clark,Richard G. Spangler,19122,72,Democratic,State House
Richland,William J. Hartnett,36146,73,Democratic,State House
Defiance,Stephen P. Buehrer,13037,74,Republican,State House
Fulton,Stephen P. Buehrer,16589,74,Republican,State House
Williams,Stephen P. Buehrer,14434,74,Republican,State House
Defiance,James M. Hoops,424,75,Republican,State House
Henry,James M. Hoops,11228,75,Republican,State House
Paulding,James M. Hoops,5934,75,Republican,State House
Putnam,James M. Hoops,11322,75,Republican,State House
Van Wert,James M. Hoops,10362,75,Republican,State House
Defiance,Ben A. Nienberg,142,75,Democratic,State House
Henry,Ben A. Nienberg,3471,75,Democratic,State House
Paulding,Ben A. Nienberg,3352,75,Democratic,State House
Putnam,Ben A. Nienberg,6914,75,Democratic,State House
Van Wert,Ben A. Nienberg,3608,75,Democratic,State House
Auglaize,Michael E. Gilb,4590,76,Republican,State House
Hancock,Michael E. Gilb,23877,76,Republican,State House
Hardin,Michael E. Gilb,7049,76,Republican,State House
Auglaize,Kenneth J. Ludwig,1914,76,Democratic,State House
Hancock,Kenneth J. Ludwig,9126,76,Democratic,State House
Hardin,Kenneth J. Ludwig,5681,76,Democratic,State House
Darke,Keith L. Faber,12224,77,Republican,State House
Mercer,Keith L. Faber,15422,77,Republican,State House
Preble,Keith L. Faber,11954,77,Republican,State House
Darke,Betsy Marshall,4662,77,Democratic,State House
Mercer,Betsy Marshall,4691,77,Democratic,State House
Preble,Betsy Marshall,7778,77,Democratic,State House
Auglaize,Derrick Seaver,12183,78,Democratic,State House
Champaign,Derrick Seaver,12692,78,Democratic,State House
Shelby,Derrick Seaver,17864,78,Democratic,State House
Darke,Diana Fessler,4774,79,Republican,State House
Miami,Diana Fessler,32456,79,Republican,State House
Darke,Dave W. Fisher,2110,79,Democratic,State House
Miami,Dave W. Fisher,16937,79,Democratic,State House
Erie,Chris Redfern,28000,80,Democratic,State House
Ottawa,Chris Redfern,12937,80,Democratic,State House
Ottawa,William L. Farrell,2011,81,Democratic,State House
Sandusky,William L. Farrell,12019,81,Democratic,State House
Seneca,William L. Farrell,7962,81,Democratic,State House
Ottawa,Jeff Wagner,2484,81,Republican,State House
Sandusky,Jeff Wagner,16104,81,Republican,State House
Seneca,Jeff Wagner,13476,81,Republican,State House
Crawford,David A. Combs,6708,82,Democratic,State House
Marion,David A. Combs,8144,82,Democratic,State House
Wyandot,David A. Combs,3121,82,Democratic,State House
Crawford,Stephen Reinhard,13811,82,Republican,State House
Marion,Stephen Reinhard,8406,82,Republican,State House
Wyandot,Stephen Reinhard,7114,82,Republican,State House
Logan,Anthony E. Core,15255,83,Republican,State House
Marion,Anthony E. Core,6772,83,Republican,State House
Union,Anthony E. Core,14829,83,Republican,State House
Logan,Geoff Lane,4751,83,Democratic,State House
Marion,Geoff Lane,3579,83,Democratic,State House
Union,Geoff Lane,5496,83,Democratic,State House
Clark,William Eby,7056,84,Democratic,State House
Greene,William Eby,6533,84,Democratic,State House
Madison,William Eby,4774,84,Democratic,State House
Clark,Chris Widener,11817,84,Republican,State House
Greene,Chris Widener,12496,84,Republican,State House
Madison,Chris Widener,11070,84,Republican,State House
Fayette,Chad M. Cunningham,3256,85,Democratic,State House
Pickaway,Chad M. Cunningham,3268,85,Democratic,State House
Ross,Chad M. Cunningham,10361,85,Democratic,State House
Fayette,John M. Schlichter,7884,85,Republican,State House
Pickaway,John M. Schlichter,6191,85,Republican,State House
Ross,John M. Schlichter,13956,85,Republican,State House
Clinton,David T. Daniels,11450,86,Republican,State House
Highland,David T. Daniels,11017,86,Republican,State House
Pike,David T. Daniels,5446,86,Republican,State House
Clinton,Bill Horne,5324,86,Democratic,State House
Highland,Bill Horne,6597,86,Democratic,State House
Pike,Bill Horne,5866,86,Democratic,State House
Gallia,Clyde Evans,9508,87,Republican,State House
Jackson,Clyde Evans,9354,87,Republican,State House
Lawrence,Clyde Evans,7261,87,Republican,State House
Ross,Clyde Evans,2581,87,Republican,State House
Vinton,Clyde Evans,3485,87,Republican,State House
Gallia,"Philip M. Roberts,",3793,87,Democratic,State House
Jackson,"Philip M. Roberts,",4008,87,Democratic,State House
Lawrence,"Philip M. Roberts,",5378,87,Democratic,State House
Ross,"Philip M. Roberts,",1788,87,Democratic,State House
Vinton,"Philip M. Roberts,",1980,87,Democratic,State House
Adams,Danny R. Bubp,4647,88,Republican,State House
Brown,Danny R. Bubp,11675,88,Republican,State House
Clermont,Danny R. Bubp,16111,88,Republican,State House
Adams,Cy Richardson,2598,88,Democratic,State House
Brown,Cy Richardson,7284,88,Democratic,State House
Clermont,Cy Richardson,9666,88,Democratic,State House
Adams,Todd Book,1918,89,Democratic,State House
Lawrence,Todd Book,7048,89,Democratic,State House
Scioto,Todd Book,24448,89,Democratic,State House
Adams,Richard S. Holt,2201,89,Republican,State House
Lawrence,Richard S. Holt,5333,89,Republican,State House
Scioto,Richard S. Holt,9159,89,Republican,State House
Ashland,Thom Collier,3526,90,Republican,State House
Knox,Thom Collier,15737,90,Republican,State House
Morrow,Thom Collier,9025,90,Republican,State House
Richland,Thom Collier,6117,90,Republican,State House
Ashland,Duane Grassbaugh,2406,90,Democratic,State House
Knox,Duane Grassbaugh,9183,90,Democratic,State House
Morrow,Duane Grassbaugh,5416,90,Democratic,State House
Richland,Duane Grassbaugh,3318,90,Democratic,State House
Hocking,Dan Dodd,6075,91,Democratic,State House
Licking,Dan Dodd,6839,91,Democratic,State House
Perry,Dan Dodd,8308,91,Democratic,State House
Pickaway,Dan Dodd,4706,91,Democratic,State House
Hocking,Ron Hood,6066,91,Republican,State House
Licking,Ron Hood,10893,91,Republican,State House
Perry,Ron Hood,5855,91,Republican,State House
Pickaway,Ron Hood,6003,91,Republican,State House
Athens,Pat Lang,14040,92,Democratic,State House
Meigs,Pat Lang,3378,92,Democratic,State House
Morgan,Pat Lang,2038,92,Democratic,State House
Washington,Pat Lang,3079,92,Democratic,State House
Athens,Jimmy Stewart,14589,92,Republican,State House
Meigs,Jimmy Stewart,6811,92,Republican,State House
Morgan,Jimmy Stewart,4405,92,Republican,State House
Washington,Jimmy Stewart,6108,92,Republican,State House
Guernsey,Jennifer Garrison,8595,93,Democratic,State House
Monroe,Jennifer Garrison,4285,93,Democratic,State House
Muskingum,Jennifer Garrison,742,93,Democratic,State House
Noble,Jennifer Garrison,3116,93,Democratic,State House
Washington,Jennifer Garrison,10404,93,Democratic,State House
Guernsey,Nancy P. Hollister,8384,93,Republican,State House
Monroe,Nancy P. Hollister,3062,93,Republican,State House
Muskingum,Nancy P. Hollister,1296,93,Republican,State House
Noble,Nancy P. Hollister,3223,93,Republican,State House
Washington,Nancy P. Hollister,9465,93,Republican,State House
Coshocton,Jim Aslanides,12865,94,Republican,State House
Muskingum,Jim Aslanides,25985,94,Republican,State House
Belmont,John Domenick,14680,95,Democratic,State House
Jefferson,John Domenick,21710,95,Democratic,State House
Belmont,Patrick Lanaghan,3433,95,Republican,State House
Jefferson,Patrick Lanaghan,13036,95,Republican,State House
Belmont,Tom Gerber,6312,96,Republican,State House
Harrison,Tom Gerber,3442,96,Republican,State House
Tuscarawas,Tom Gerber,15793,96,Republican,State House
Belmont,Allan R. Sayre,8045,96,Democratic,State House
Harrison,Allan R. Sayre,4244,96,Democratic,State House
Tuscarawas,Allan R. Sayre,18038,96,Democratic,State House
Ashland,Bob Gibbs,10751,97,Republican,State House
Holmes,Bob Gibbs,8373,97,Republican,State House
Medina,Bob Gibbs,10973,97,Republican,State House
Ashland,Thomas L. Mason,6736,97,Democratic,State House
Holmes,Thomas L. Mason,2038,97,Democratic,State House
Medina,Thomas L. Mason,7578,97,Democratic,State House
Cuyahoga,Matthew J. Dolan,5521,98,Republican,State House
Geauga,Matthew J. Dolan,30722,98,Republican,State House
Cuyahoga,Dan Dombek,4810,98,Democratic,State House
Geauga,Dan Dombek,14526,98,Democratic,State House
Ashtabula,L. George Distel,29282,99,Democratic,State House
Trumbull,L. George Distel,1265,99,Democratic,State House
Ashtabula,"Bill Pikor, Jr.",13650,99,Republican,State House
Trumbull,"Bill Pikor, Jr.",1201,99,Republican,State House
Erie,Randy Gardner,19572,2,Republican,State Senate
Lucas,Randy Gardner,38685,2,Republican,State Senate
Ottawa,Randy Gardner,9956,2,Republican,State Senate
Wood,Randy Gardner,39234,2,Republican,State Senate
Erie,Nathan Nickens,16659,2,Democratic,State Senate
Lucas,Nathan Nickens,21155,2,Democratic,State Senate
Ottawa,Nathan Nickens,6943,2,Democratic,State Senate
Wood,Nathan Nickens,19255,2,Democratic,State Senate
Butler,Gary Cates,98569,4,Republican,State Senate
Butler,Melvin A. Smith,51669,4,Democratic,State Senate
Montgomery,Jeff Jacobson,110158,6,Republican,State Senate
Montgomery,Jason A. Stanton,60719,6,Democratic,State Senate
Hamilton,Patricia M. Clancy,107882,8,Republican,State Senate
Hamilton,Jeannette Harrison,61567,8,Democratic,State Senate
Clark,Steve Austria,38338,10,Republican,State Senate
Greene,Steve Austria,52046,10,Republican,State Senate
Madison,Steve Austria,10371,10,Republican,State Senate
Clark,Charles E. Hart,27005,10,Democratic,State Senate
Greene,Charles E. Hart,23235,10,Democratic,State Senate
Madison,Charles E. Hart,5184,10,Democratic,State Senate
Allen,Jim Jordan,36371,12,Republican,State Senate
Auglaize,Jim Jordan,11464,12,Republican,State Senate
Champaign,Jim Jordan,13082,12,Republican,State Senate
Darke,Jim Jordan,11768,12,Republican,State Senate
Mercer,Jim Jordan,14973,12,Republican,State Senate
Preble,Jim Jordan,13621,12,Republican,State Senate
Shelby,Jim Jordan,16914,12,Republican,State Senate
Allen,"Jack Kaffenberger, Sr.",8118,12,Non-Partisan,State Senate
Auglaize,"Jack Kaffenberger, Sr.",2333,12,Non-Partisan,State Senate
Champaign,"Jack Kaffenberger, Sr.",3671,12,Non-Partisan,State Senate
Darke,"Jack Kaffenberger, Sr.",4209,12,Non-Partisan,State Senate
Mercer,"Jack Kaffenberger, Sr.",3932,12,Non-Partisan,State Senate
Preble,"Jack Kaffenberger, Sr.",4788,12,Non-Partisan,State Senate
Shelby,"Jack Kaffenberger, Sr.",3851,12,Non-Partisan,State Senate
Adams,Tom Niehaus,7692,14,Republican,State Senate
Brown,Tom Niehaus,13159,14,Republican,State Senate
Clermont,Tom Niehaus,62574,14,Republican,State Senate
Lawrence,Tom Niehaus,6053,14,Republican,State Senate
Scioto,Tom Niehaus,16076,14,Republican,State Senate
Adams,Paul Schwietering,3314,14,Democratic,State Senate
Brown,Paul Schwietering,5565,14,Democratic,State Senate
Clermont,Paul Schwietering,21604,14,Democratic,State Senate
Lawrence,Paul Schwietering,6034,14,Democratic,State Senate
Scioto,Paul Schwietering,15522,14,Democratic,State Senate
Franklin,Don Eckhart,14509,16,Non-Partisan,State Senate
Franklin,Steve Stivers,95251,16,Republican,State Senate
Franklin,Katherine Thomsen,55656,16,Democratic,State Senate
Cuyahoga,Timothy J. Grendell,6075,18,Republican,State Senate
Geauga,Timothy J. Grendell,32981,18,Republican,State Senate
Lake,Timothy J. Grendell,56854,18,Republican,State Senate
Cuyahoga,John Hawkins,4587,18,Democratic,State Senate
Geauga,John Hawkins,14387,18,Democratic,State Senate
Lake,John Hawkins,46017,18,Democratic,State Senate
Athens,Terry Anderson,18531,20,Democratic,State Senate
Coshocton,Terry Anderson,5382,20,Democratic,State Senate
Guernsey,Terry Anderson,7706,20,Democratic,State Senate
Meigs,Terry Anderson,5016,20,Democratic,State Senate
Monroe,Terry Anderson,4128,20,Democratic,State Senate
Morgan,Terry Anderson,2606,20,Democratic,State Senate
Muskingum,Terry Anderson,15331,20,Democratic,State Senate
Noble,Terry Anderson,2626,20,Democratic,State Senate
Washington,Terry Anderson,12546,20,Democratic,State Senate
Athens,Joy Padgett,9814,20,Republican,State Senate
Coshocton,Joy Padgett,11779,20,Republican,State Senate
Guernsey,Joy Padgett,9593,20,Republican,State Senate
Meigs,Joy Padgett,5008,20,Republican,State Senate
Monroe,Joy Padgett,3323,20,Republican,State Senate
Morgan,Joy Padgett,3886,20,Republican,State Senate
Muskingum,Joy Padgett,22174,20,Republican,State Senate
Noble,Joy Padgett,3672,20,Republican,State Senate
Washington,Joy Padgett,16472,20,Republican,State Senate
Ashland,Ron Amstutz,13506,22,Republican,State Senate
Holmes,Ron Amstutz,8143,22,Republican,State Senate
Medina,Ron Amstutz,55119,22,Republican,State Senate
Wayne,Ron Amstutz,39820,22,Republican,State Senate
Cuyahoga,Robert Matius,67336,24,Democratic,State Senate
Cuyahoga,Bob Spada,110529,24,Republican,State Senate
Crawford,Larry Mumper,15677,26,Republican,State Senate
Logan,Larry Mumper,15273,26,Republican,State Senate
Marion,Larry Mumper,21265,26,Republican,State Senate
Ottawa,Larry Mumper,2914,26,Republican,State Senate
Sandusky,Larry Mumper,17201,26,Republican,State Senate
Seneca,Larry Mumper,15360,26,Republican,State Senate
Union,Larry Mumper,16703,26,Republican,State Senate
Wyandot,Larry Mumper,8214,26,Republican,State Senate
Portage,Kevin M. Fowler,28565,28,Republican,State Senate
Summit,Kevin M. Fowler,24929,28,Republican,State Senate
Portage,Kimberly A. Zurz,40345,28,Democratic,State Senate
Summit,Kimberly A. Zurz,60671,28,Democratic,State Senate
Belmont,Michael S. Wilkes,6115,30,Republican,State Senate
Columbiana,Michael S. Wilkes,20160,30,Republican,State Senate
Harrison,Michael S. Wilkes,2240,30,Republican,State Senate
Jefferson,Michael S. Wilkes,9404,30,Republican,State Senate
Tuscarawas,Michael S. Wilkes,11964,30,Republican,State Senate
Belmont,Charlie Wilson,26356,30,Democratic,State Senate
Columbiana,Charlie Wilson,24340,30,Democratic,State Senate
Harrison,Charlie Wilson,5425,30,Democratic,State Senate
Jefferson,Charlie Wilson,24310,30,Democratic,State Senate
Tuscarawas,Charlie Wilson,20393,30,Democratic,State Senate
Ashtabula,Marc Dann,21130,32,Democratic,State Senate
Trumbull,Marc Dann,73584,32,Democratic,State Senate
Ashtabula,Gary L. Pasqualone,21116,32,Republican,State Senate
Trumbull,Gary L. Pasqualone,27340,32,Republican,State Senate
