county,office,district,party,candidate,votes,region,media_market
Franklin,State House,17,D,Adam C. Miller,21664,Central,Columbus
Franklin,State House,18,D,Kristin Boggs,45861,Central,Columbus
Franklin,State House,18,R,Kayla Anne Packard,13007,Central,Columbus
Franklin,State House,19,R,Meredith Freedhoff,32950,Central,Columbus
Franklin,State House,19,D,Mary Lightbody,42267,Central,Columbus
Franklin,State House,20,R,Chris Baer,24928,Central,Columbus
Franklin,State House,20,D,Richard Brown,36330,Central,Columbus
Franklin,State House,21,R,Mehek Cooke,32756,Central,Columbus
Franklin,State House,21,D,Beth Liston,42990,Central,Columbus
Franklin,State House,22,D,David Leland,45754,Central,Columbus
Franklin,State House,23,D,Nancy Day-Achauer,27532,Central,Columbus
Franklin,State House,23,R,Laura Lanese,34275,Central,Columbus
Franklin,State House,24,R,Pat Manley,31202,Central,Columbus
Franklin,State House,24,D,Allison Russo,42935,Central,Columbus
Franklin,State House,25,R,Jim Burgess,8870,Central,Columbus
Franklin,State House,25,D,Dontavius Jarrells,41312,Central,Columbus
Franklin,State House,26,D,Erica C. Crawley,45350,Central,Columbus
Fulton,U.S. House,5,R,Bob Latta,16945,Northwest,Toledo
Fulton,U.S. House,5,D,Nick Rubando,5409,Northwest,Toledo
Fulton,State Senate,2,R,Theresa Gavarone,11195,Northwest,Toledo
Fulton,State Senate,2,D,Joel O'Dorisio,3418,Northwest,Toledo
Fulton,State House,47,D,Nancy Larson,3896,Northwest,Toledo
Fulton,State House,47,R,Derek Merrin,10752,Northwest,Toledo
Fulton,State House,81,,Janet Breneman,161,Northwest,Toledo
Fulton,State House,81,R,James M. Hoops,5876,Northwest,Toledo
Gallia,U.S. House,6,R,Bill Johnson,10504,Southeast,Charleston
Gallia,U.S. House,6,D,Shawna Roberts,2803,Southeast,Charleston
Gallia,State House,93,,Tad Saunders,378,Southeast,Charleston
Gallia,State House,93,R,Jason Stephens,10910,Southeast,Charleston
Geauga,U.S. House,14,R,David P. Joyce,37098,Northeast,Cleveland
Geauga,U.S. House,14,D,Hillary O'Connor Mueri,17450,Northeast,Cleveland
Geauga,State Senate,18,R,Jerry Cirino,27229,Northeast,Cleveland
Geauga,State Senate,18,D,Betsy Rader,16248,Northeast,Cleveland
Geauga,State Senate,32,R,Sandra O'Brien,7494,Northeast,Cleveland
Geauga,State Senate,32,D,Sean J. O'Brien,3284,Northeast,Cleveland
Geauga,State House,76,R,Diane V. Grendell,25780,Northeast,Cleveland
Geauga,State House,76,D,Garrett Westhoven,16825,Northeast,Cleveland
Geauga,State House,99,,Kyle Bruckman,3,Northeast,Cleveland
Geauga,State House,99,D,Richard Dana,3356,Northeast,Cleveland
Geauga,State House,99,R,Sarah Fowler Arthur,7423,Northeast,Cleveland
Greene,U.S. House,10,D,Desiree Tims,29909,West,Dayton
Greene,U.S. House,10,R,Mike Turner,58298,West,Dayton
Greene,State Senate,10,D,Charles Ballard,31337,West,Dayton
Greene,State Senate,10,R,Robert D. Hackett,55043,West,Dayton
Greene,State House,73,R,Brian Lampton,36523,West,Dayton
Greene,State House,73,D,Kim McCarthy,26969,West,Dayton
Greene,State House,74,R,Bill Dean,18347,West,Dayton
Greene,State House,74,,Michael Johnson,63,West,Dayton
Greene,State House,74,,Ted McClenen,1068,West,Dayton
Guernsey,U.S. House,6,R,Bill Johnson,13444,Southeast,Wheeling
Guernsey,U.S. House,6,D,Shawna Roberts,4195,Southeast,Wheeling
Guernsey,State Senate,20,D,Christian N. Johnson,4642,Southeast,Wheeling
Guernsey,State Senate,20,R,Tim Schaffer,12601,Southeast,Wheeling
Guernsey,State House,97,R,Adam Holmes,12469,Southeast,Wheeling
Guernsey,State House,97,D,Alaina Swope,4720,Southeast,Wheeling
Hamilton,U.S. House,1,R,Steve Chabot,112489,Southwest,Cincinnati
Hamilton,U.S. House,1,I,Kevin David Kahn,8557,Southwest,Cincinnati
Hamilton,U.S. House,1,,Kiumars Kiani,7,Southwest,Cincinnati
Hamilton,U.S. House,1,D,Kate Schroder,130362,Southwest,Cincinnati
Hamilton,U.S. House,2,D,Jaime M. Castle,93554,Southwest,Cincinnati
Hamilton,U.S. House,2,,James J. Condit Jr,25,Southwest,Cincinnati
Hamilton,U.S. House,2,R,Brad Wenstrup,79319,Southwest,Cincinnati
Hamilton,State Senate,8,R,Louis W. Blessing III,112313,Southwest,Cincinnati
Hamilton,State Senate,8,D,Daniel Brown,74565,Southwest,Cincinnati
Hamilton,State House,27,D,Sara Bitter,33339,Southwest,Cincinnati
Hamilton,State House,27,R,Tom Brinkman,37723,Southwest,Cincinnati
Hamilton,State House,28,D,Jessica E. Miranda,35353,Southwest,Cincinnati
Hamilton,State House,28,R,Chris Monzel,33039,Southwest,Cincinnati
Hamilton,State House,29,R,Cindy Abrams,43320,Southwest,Cincinnati
Hamilton,State House,29,,Harrison T. Stanley,792,Southwest,Cincinnati
Hamilton,State House,30,I,Tom Roll,16426,Southwest,Cincinnati
Hamilton,State House,30,R,Bill Seitz,42269,Southwest,Cincinnati
Hamilton,State House,31,D,Brigid Kelly,42180,Southwest,Cincinnati
Hamilton,State House,32,D,Catherine D. Ingram,42055,Southwest,Cincinnati
Hamilton,State House,33,D,Sedrick Denson,41500,Southwest,Cincinnati
Hamilton,State House,33,R,Mary L. Hill,13901,Southwest,Cincinnati
Hancock,U.S. House,5,R,Bob Latta,27919,Northwest,Toledo
Hancock,U.S. House,5,D,Nick Rubando,9972,Northwest,Toledo
Hancock,State House,83,R,Jon Cross,29118,Northwest,Toledo
Hancock,State House,83,,Mary E. Harshfield,1317,Northwest,Toledo
Hardin,U.S. House,5,R,Bob Latta,10063,Central,Columbus
Hardin,U.S. House,5,D,Nick Rubando,2773,Central,Columbus
Hardin,State House,83,R,Jon Cross,10335,Central,Columbus
Hardin,State House,83,,Mary E. Harshfield,487,Central,Columbus
Harrison,U.S. House,6,R,Bill Johnson,5568,Southeast,Wheeling
Harrison,U.S. House,6,D,Shawna Roberts,1704,Southeast,Wheeling
Harrison,State Senate,30,D,Michael Fletcher,1829,Southeast,Wheeling
Harrison,State Senate,30,R,Frank Hoagland,5591,Southeast,Wheeling
Harrison,State House,95,R,Don Jones,6355,Southeast,Wheeling
Henry,U.S. House,5,R,Bob Latta,11423,Northwest,Toledo
Henry,U.S. House,5,D,Nick Rubando,3236,Northwest,Toledo
Henry,State House,81,,Janet Breneman,72,Northwest,Toledo
Henry,State House,81,R,James M. Hoops,12827,Northwest,Toledo
Highland,U.S. House,2,D,Jaime M. Castle,3353,Southwest,Cincinnati
Highland,U.S. House,2,,James J. Condit Jr,2,Southwest,Cincinnati
Highland,U.S. House,2,R,Brad Wenstrup,15834,Southwest,Cincinnati
Highland,State House,91,D,Scott M. Dailey,3695,Southwest,Cincinnati
Highland,State House,91,R,Shane Wilkin,15257,Southwest,Cincinnati
Hocking,U.S. House,15,,Shane Hoffman,4,Central,Columbus
Hocking,U.S. House,15,D,Joel Newby,3477,Central,Columbus
Hocking,U.S. House,15,R,Steve Stivers,10082,Central,Columbus
Hocking,State Senate,20,D,Christian N. Johnson,3823,Central,Columbus
Hocking,State Senate,20,R,Tim Schaffer,9552,Central,Columbus
Hocking,State House,78,D,Charlotte Owens,3936,Central,Columbus
Hocking,State House,78,R,Brian S. Stewart,9252,Central,Columbus
Holmes,U.S. House,7,R,Bob Gibbs,10776,Northeast,Cleveland
Holmes,U.S. House,7,I,Brandon Lape,354,Northeast,Cleveland
Holmes,U.S. House,7,D,Quentin Potter,1428,Northeast,Cleveland
Holmes,State Senate,22,D,Ryan Hunger,896,Northeast,Cleveland
Holmes,State Senate,22,R,Mark Romanchuk,3931,Northeast,Cleveland
Holmes,State House,70,D,Kevin Barnet,840,Northeast,Cleveland
Holmes,State House,70,R,Darrell D. Kick,4041,Northeast,Cleveland
Holmes,State House,98,D,Todd E. Beegle,854,Northeast,Cleveland
Holmes,State House,98,R,Brett Hudson Hillyer,6293,Northeast,Cleveland
Huron,U.S. House,4,D,Shannon M. Freshour,4508,Northeast,Cleveland
Huron,U.S. House,4,R,Jim Jordan,9025,Northeast,Cleveland
Huron,U.S. House,4,I,Steve Perkins,487,Northeast,Cleveland
Huron,U.S. House,7,R,Bob Gibbs,9158,Northeast,Cleveland
Huron,U.S. House,7,I,Brandon Lape,392,Northeast,Cleveland
Huron,U.S. House,7,D,Quentin Potter,2494,Northeast,Cleveland
Huron,State House,57,D,Dara Adkison,7098,Northeast,Cleveland
Huron,State House,57,R,Dick Stein,19266,Northeast,Cleveland
Jackson,U.S. House,6,R,Bill Johnson,10839,Southeast,Charleston
Jackson,U.S. House,6,D,Shawna Roberts,3120,Southeast,Charleston
Jackson,State House,93,,Tad Saunders,78,Southeast,Charleston
Jackson,State House,93,R,Jason Stephens,11268,Southeast,Charleston
Jefferson,U.S. House,6,R,Bill Johnson,23264,Southeast,Wheeling
Jefferson,U.S. House,6,D,Shawna Roberts,9432,Southeast,Wheeling
Jefferson,State Senate,30,D,Michael Fletcher,10194,Southeast,Wheeling
Jefferson,State Senate,30,R,Frank Hoagland,22098,Southeast,Wheeling
Jefferson,State House,96,R,Ron Ferguson,21474,Southeast,Wheeling
Jefferson,State House,96,I,Oscar Herrera,1162,Southeast,Wheeling
Jefferson,State House,96,D,Richard A. Olivito,9961,Southeast,Wheeling
Knox,U.S. House,7,R,Bob Gibbs,21803,Central,Columbus
Knox,U.S. House,7,I,Brandon Lape,1336,Central,Columbus
Knox,U.S. House,7,D,Quentin Potter,7264,Central,Columbus
Knox,State House,68,R,Rick Carfagna,22522,Central,Columbus
Knox,State House,68,D,Steven F. Mount,7746,Central,Columbus
Lake,U.S. House,14,R,David P. Joyce,78171,Northeast,Cleveland
Lake,U.S. House,14,D,Hillary O'Connor Mueri,47173,Northeast,Cleveland
Lake,State Senate,18,R,Jerry Cirino,44126,Northeast,Cleveland
Lake,State Senate,18,D,Betsy Rader,25010,Northeast,Cleveland
Lake,State House,60,R,George M. Phillips,27623,Northeast,Cleveland
Lake,State House,60,D,Daniel P. Troy,28421,Northeast,Cleveland
Lake,State House,61,R,Jamie Callender,41658,Northeast,Cleveland
Lake,State House,61,D,Adam Dudziak,26378,Northeast,Cleveland
Lawrence,U.S. House,6,R,Bill Johnson,20310,Southeast,Charleston
Lawrence,U.S. House,6,D,Shawna Roberts,7399,Southeast,Charleston
Lawrence,State Senate,14,R,Terry A. Johnson,3949,Southeast,Charleston
Lawrence,State Senate,14,D,Ryan Ottney,1922,Southeast,Charleston
Lawrence,State House,90,R,Brian Baldridge,4725,Southeast,Charleston
Lawrence,State House,93,,Tad Saunders,277,Southeast,Charleston
Lawrence,State House,93,R,Jason Stephens,18932,Southeast,Charleston
Licking,U.S. House,12,R,Troy Balderson,60087,Central,Columbus
Licking,U.S. House,12,D,Alaina Shearer,29381,Central,Columbus
Licking,U.S. House,12,I,John S. Stewart,3152,Central,Columbus
Licking,State House,71,D,Mark Carr,23254,Central,Columbus
Licking,State House,71,R,Mark D. Fraizer,39667,Central,Columbus
Licking,State House,72,,Kaitlyn Clark,116,Central,Columbus
Licking,State House,72,,Jay A. Conrad,1797,Central,Columbus
Licking,State House,72,R,Larry Householder,16115,Central,Columbus
Licking,State House,72,,Robert Leist,269,Central,Columbus
Licking,State House,72,,Marci McCaulay,2547,Central,Columbus
Logan,U.S. House,4,D,Shannon M. Freshour,4559,West,Dayton
Logan,U.S. House,4,R,Jim Jordan,18121,West,Dayton
Logan,U.S. House,4,I,Steve Perkins,518,West,Dayton
Logan,State Senate,12,R,Matt Huffman,15531,West,Dayton
Logan,State Senate,12,D,Ken Poling,4116,West,Dayton
Logan,State House,83,R,Jon Cross,2692,West,Dayton
