county,candidate,votes,party,office,district
Cuyahoga,Thomas Pekarek,9123,Republican,US Representative,11
Delaware,David Ryon,2336,Republican,US Representative,12
Franklin,David Ryon,3030,Republican,US Representative,12
Licking,David Ryon,1315,Republican,US Representative,12
Delaware,Pat Tiberi,21354,Republican,US Representative,12
Franklin,Pat Tiberi,29101,Republican,US Representative,12
Licking,Pat Tiberi,12995,Republican,US Representative,12
Cuyahoga,Frank Chestney,1979,Republican,US Representative,13
Lorain,Frank Chestney,3178,Republican,US Representative,13
Medina,Frank Chestney,1360,Republican,US Representative,13
Summit,Frank Chestney,3576,Republican,US Representative,13
Cuyahoga,Frances L. Kalapodis,1193,Republican,US Representative,13
Lorain,Frances L. Kalapodis,1750,Republican,US Representative,13
Medina,Frances L. Kalapodis,484,Republican,US Representative,13
Summit,Frances L. Kalapodis,4425,Republican,US Representative,13
Cuyahoga,David S. Potter,2474,Republican,US Representative,13
Lorain,David S. Potter,3747,Republican,US Representative,13
Medina,David S. Potter,1250,Republican,US Representative,13
Summit,David S. Potter,4593,Republican,US Representative,13
Ashtabula,Steven C. Latourette,7041,Republican,US Representative,14
Cuyahoga,Steven C. Latourette,4259,Republican,US Representative,14
Geauga,Steven C. Latourette,8920,Republican,US Representative,14
Lake,Steven C. Latourette,19221,Republican,US Representative,14
Portage,Steven C. Latourette,2644,Republican,US Representative,14
Summit,Steven C. Latourette,10237,Republican,US Representative,14
Trumbull,Steven C. Latourette,714,Republican,US Representative,14
Franklin,Steve Stivers,27844,Republican,US Representative,15
Madison,Steve Stivers,2502,Republican,US Representative,15
Union,Steve Stivers,3492,Republican,US Representative,15
Franklin,Robert Wagner,12355,Republican,US Representative,15
Madison,Robert Wagner,1871,Republican,US Representative,15
Union,Robert Wagner,3273,Republican,US Representative,15
Ashland,Matt Miller,5044,Republican,US Representative,16
Medina,Matt Miller,6075,Republican,US Representative,16
Stark,Matt Miller,11029,Republican,US Representative,16
Wayne,Matt Miller,7587,Republican,US Representative,16
Ashland,Paul R. Schiffer,307,Republican,US Representative,16
Medina,Paul R. Schiffer,2220,Republican,US Representative,16
Stark,Paul R. Schiffer,3358,Republican,US Representative,16
Wayne,Paul R. Schiffer,1563,Republican,US Representative,16
Ashland,Kirk Schuring,699,Republican,US Representative,16
Medina,Kirk Schuring,3244,Republican,US Representative,16
Stark,Kirk Schuring,25524,Republican,US Representative,16
Wayne,Kirk Schuring,4067,Republican,US Representative,16
Mahoning,Duane V. Grassell,2185,Republican,US Representative,17
Portage,Duane V. Grassell,4245,Republican,US Representative,17
Summit,Duane V. Grassell,5261,Republican,US Representative,17
Trumbull,Duane V. Grassell,6992,Republican,US Representative,17
Athens,Beau M. Bromberg,31,Republican,US Representative,18
Belmont,Beau M. Bromberg,74,Republican,US Representative,18
Carroll,Beau M. Bromberg,288,Republican,US Representative,18
Coshocton,Beau M. Bromberg,348,Republican,US Representative,18
Guernsey,Beau M. Bromberg,179,Republican,US Representative,18
Harrison,Beau M. Bromberg,124,Republican,US Representative,18
Hocking,Beau M. Bromberg,143,Republican,US Representative,18
Holmes,Beau M. Bromberg,259,Republican,US Representative,18
Jackson,Beau M. Bromberg,167,Republican,US Representative,18
Knox,Beau M. Bromberg,319,Republican,US Representative,18
Licking,Beau M. Bromberg,941,Republican,US Representative,18
Morgan,Beau M. Bromberg,163,Republican,US Representative,18
Muskingum,Beau M. Bromberg,562,Republican,US Representative,18
Ross,Beau M. Bromberg,257,Republican,US Representative,18
Tuscarawas,Beau M. Bromberg,660,Republican,US Representative,18
Vinton,Beau M. Bromberg,105,Republican,US Representative,18
Athens,Fred Dailey,304,Republican,US Representative,18
Belmont,Fred Dailey,380,Republican,US Representative,18
Carroll,Fred Dailey,1242,Republican,US Representative,18
Coshocton,Fred Dailey,1576,Republican,US Representative,18
Guernsey,Fred Dailey,1272,Republican,US Representative,18
Harrison,Fred Dailey,520,Republican,US Representative,18
Hocking,Fred Dailey,801,Republican,US Representative,18
Holmes,Fred Dailey,1105,Republican,US Representative,18
Jackson,Fred Dailey,1265,Republican,US Representative,18
Knox,Fred Dailey,4023,Republican,US Representative,18
Licking,Fred Dailey,1872,Republican,US Representative,18
Morgan,Fred Dailey,855,Republican,US Representative,18
Muskingum,Fred Dailey,4456,Republican,US Representative,18
Ross,Fred Dailey,1225,Republican,US Representative,18
Tuscarawas,Fred Dailey,2202,Republican,US Representative,18
Vinton,Fred Dailey,500,Republican,US Representative,18
Athens,Jeannette Moll,204,Republican,US Representative,18
Belmont,Jeannette Moll,438,Republican,US Representative,18
Carroll,Jeannette Moll,1031,Republican,US Representative,18
Coshocton,Jeannette Moll,1253,Republican,US Representative,18
Guernsey,Jeannette Moll,1763,Republican,US Representative,18
Harrison,Jeannette Moll,386,Republican,US Representative,18
Hocking,Jeannette Moll,695,Republican,US Representative,18
Holmes,Jeannette Moll,1263,Republican,US Representative,18
Jackson,Jeannette Moll,935,Republican,US Representative,18
Knox,Jeannette Moll,1406,Republican,US Representative,18
Licking,Jeannette Moll,1491,Republican,US Representative,18
Morgan,Jeannette Moll,665,Republican,US Representative,18
Muskingum,Jeannette Moll,3967,Republican,US Representative,18
Ross,Jeannette Moll,946,Republican,US Representative,18
Tuscarawas,Jeannette Moll,1707,Republican,US Representative,18
Vinton,Jeannette Moll,462,Republican,US Representative,18
Athens,Paul Phillips,105,Republican,US Representative,18
Belmont,Paul Phillips,197,Republican,US Representative,18
Carroll,Paul Phillips,577,Republican,US Representative,18
Coshocton,Paul Phillips,720,Republican,US Representative,18
Guernsey,Paul Phillips,554,Republican,US Representative,18
Harrison,Paul Phillips,246,Republican,US Representative,18
Hocking,Paul Phillips,418,Republican,US Representative,18
Holmes,Paul Phillips,470,Republican,US Representative,18
Jackson,Paul Phillips,945,Republican,US Representative,18
Knox,Paul Phillips,1197,Republican,US Representative,18
Licking,Paul Phillips,1484,Republican,US Representative,18
Morgan,Paul Phillips,371,Republican,US Representative,18
Muskingum,Paul Phillips,2169,Republican,US Representative,18
Ross,Paul Phillips,2475,Republican,US Representative,18
Tuscarawas,Paul Phillips,1336,Republican,US Representative,18
Vinton,Paul Phillips,219,Republican,US Representative,18
Erie,Darwitt R. Garrett,4615,Democratic,State Senate,2
Lucas,Darwitt R. Garrett,4455,Democratic,State Senate,2
Ottawa,Darwitt R. Garrett,1957,Democratic,State Senate,2
Wood,Darwitt R. Garrett,4261,Democratic,State Senate,2
Erie,Sylvia Washburn,8867,Democratic,State Senate,2
Lucas,Sylvia Washburn,11110,Democratic,State Senate,2
Ottawa,Sylvia Washburn,3876,Democratic,State Senate,2
Wood,Sylvia Washburn,11298,Democratic,State Senate,2
Butler,Kathryn Bridgman,21808,Democratic,State Senate,4
Butler,Erik Rivera,8973,Democratic,State Senate,4
Montgomery,John R. Doll,34492,Democratic,State Senate,6
Hamilton,Daniel J. McCarthy,30688,Democratic,State Senate,8
Clark,Roger Tackett,20689,Democratic,State Senate,10
Greene,Roger Tackett,16171,Democratic,State Senate,10
Madison,Roger Tackett,3255,Democratic,State Senate,10
Allen,Thomas Matthew,9308,Democratic,State Senate,12
Auglaize,Thomas Matthew,2522,Democratic,State Senate,12
Champaign,Thomas Matthew,3818,Democratic,State Senate,12
Darke,Thomas Matthew,2807,Democratic,State Senate,12
Mercer,Thomas Matthew,2825,Democratic,State Senate,12
Preble,Thomas Matthew,4105,Democratic,State Senate,12
Shelby,Thomas Matthew,4613,Democratic,State Senate,12
Adams,Holly Stutz,2217,Democratic,State Senate,14
Brown,Holly Stutz,5033,Democratic,State Senate,14
Clermont,Holly Stutz,16276,Democratic,State Senate,14
Lawrence,Holly Stutz,3520,Democratic,State Senate,14
Scioto,Holly Stutz,8614,Democratic,State Senate,14
Franklin,Danielle R. Blue,38453,Democratic,State Senate,16
Cuyahoga,Amy Diamond,2891,Democratic,State Senate,18
Geauga,Amy Diamond,10647,Democratic,State Senate,18
Lake,Amy Diamond,28042,Democratic,State Senate,18
Athens,Rick C. Shriver,9585,Democratic,State Senate,20
Coshocton,Rick C. Shriver,3757,Democratic,State Senate,20
Guernsey,Rick C. Shriver,3835,Democratic,State Senate,20
Meigs,Rick C. Shriver,2280,Democratic,State Senate,20
Monroe,Rick C. Shriver,2813,Democratic,State Senate,20
Morgan,Rick C. Shriver,1824,Democratic,State Senate,20
Muskingum,Rick C. Shriver,8621,Democratic,State Senate,20
Noble,Rick C. Shriver,1432,Democratic,State Senate,20
Washington,Rick C. Shriver,7064,Democratic,State Senate,20
Ashland,James E. Riley,3017,Democratic,State Senate,22
Holmes,James E. Riley,1452,Democratic,State Senate,22
Medina,James E. Riley,18889,Democratic,State Senate,22
Wayne,James E. Riley,10268,Democratic,State Senate,22
Cuyahoga,Emanuel J. Cotronakis,43746,Democratic,State Senate,24
Crawford,Thomas L. Kruse,4044,Democratic,State Senate,26
Logan,Thomas L. Kruse,3584,Democratic,State Senate,26
Marion,Thomas L. Kruse,7125,Democratic,State Senate,26
Ottawa,Thomas L. Kruse,1331,Democratic,State Senate,26
Sandusky,Thomas L. Kruse,7630,Democratic,State Senate,26
Seneca,Thomas L. Kruse,5071,Democratic,State Senate,26
Union,Thomas L. Kruse,4046,Democratic,State Senate,26
Wyandot,Thomas L. Kruse,1945,Democratic,State Senate,26
Portage,Thomas C. Sawyer,23418,Democratic,State Senate,28
Summit,Thomas C. Sawyer,33112,Democratic,State Senate,28
Belmont,Jason H. Wilson,15271,Democratic,State Senate,30
Columbiana,Jason H. Wilson,14806,Democratic,State Senate,30
Harrison,Jason H. Wilson,2880,Democratic,State Senate,30
Jefferson,Jason H. Wilson,13703,Democratic,State Senate,30
Tuscarawas,Jason H. Wilson,10683,Democratic,State Senate,30
Ashtabula,Capri S. Cafaro,14798,Democratic,State Senate,32
Trumbull,Capri S. Cafaro,45967,Democratic,State Senate,32
Erie,Mark Hollenbaugh,818,Republican,State Senate,2
Lucas,Mark Hollenbaugh,617,Republican,State Senate,2
Ottawa,Mark Hollenbaugh,281,Republican,State Senate,2
Wood,Mark Hollenbaugh,1936,Republican,State Senate,2
Erie,John F. Schulte,834,Republican,State Senate,2
Lucas,John F. Schulte,602,Republican,State Senate,2
Ottawa,John F. Schulte,443,Republican,State Senate,2
Wood,John F. Schulte,1560,Republican,State Senate,2
Erie,Mark Wagoner,3164,Republican,State Senate,2
Lucas,Mark Wagoner,8876,Republican,State Senate,2
Ottawa,Mark Wagoner,1744,Republican,State Senate,2
Wood,Mark Wagoner,6508,Republican,State Senate,2
Butler,Gary Cates,27855,Republican,State Senate,4
Montgomery,Jon Husted,31240,Republican,State Senate,6
Hamilton,William J. Seitz,27645,Republican,State Senate,8
Clark,James E. Howard,1496,Republican,State Senate,10
Greene,James E. Howard,2520,Republican,State Senate,10
Madison,James E. Howard,310,Republican,State Senate,10
Clark,W. Reed Madden,1793,Republican,State Senate,10
Greene,W. Reed Madden,6782,Republican,State Senate,10
Madison,W. Reed Madden,362,Republican,State Senate,10
Clark,Chris Widener,11031,Republican,State Senate,10
Greene,Chris Widener,11605,Republican,State Senate,10
Madison,Chris Widener,4265,Republican,State Senate,10
Allen,Keith Faber,10251,Republican,State Senate,12
Auglaize,Keith Faber,2640,Republican,State Senate,12
Champaign,Keith Faber,4612,Republican,State Senate,12
Darke,Keith Faber,4045,Republican,State Senate,12
Mercer,Keith Faber,4138,Republican,State Senate,12
Preble,Keith Faber,5038,Republican,State Senate,12
Shelby,Keith Faber,4024,Republican,State Senate,12
Adams,Tom Niehaus,2384,Republican,State Senate,14
Brown,Tom Niehaus,4039,Republican,State Senate,14
Clermont,Tom Niehaus,20974,Republican,State Senate,14
Lawrence,Tom Niehaus,2338,Republican,State Senate,14
Scioto,Tom Niehaus,4477,Republican,State Senate,14
Franklin,Jim Hughes,27888,Republican,State Senate,16
Cuyahoga,Timothy J. Grendell,1562,Republican,State Senate,18
Geauga,Timothy J. Grendell,8422,Republican,State Senate,18
Lake,Timothy J. Grendell,15542,Republican,State Senate,18
Athens,Jimmy Stewart,3002,Republican,State Senate,20
Coshocton,Jimmy Stewart,2910,Republican,State Senate,20
Guernsey,Jimmy Stewart,2894,Republican,State Senate,20
Meigs,Jimmy Stewart,3303,Republican,State Senate,20
Monroe,Jimmy Stewart,635,Republican,State Senate,20
Morgan,Jimmy Stewart,2165,Republican,State Senate,20
Muskingum,Jimmy Stewart,8487,Republican,State Senate,20
Noble,Jimmy Stewart,1348,Republican,State Senate,20
Washington,Jimmy Stewart,5954,Republican,State Senate,20
Ashland,Bob Gibbs,4350,Republican,State Senate,22
Holmes,Bob Gibbs,3410,Republican,State Senate,22
Medina,Bob Gibbs,12999,Republican,State Senate,22
Wayne,Bob Gibbs,9907,Republican,State Senate,22
Cuyahoga,Thomas F. Patton,21327,Republican,State Senate,24
Crawford,Karen Gillmor,1773,Republican,State Senate,26
Logan,Karen Gillmor,3887,Republican,State Senate,26
Marion,Karen Gillmor,3370,Republican,State Senate,26
Ottawa,Karen Gillmor,532,Republican,State Senate,26
Sandusky,Karen Gillmor,5700,Republican,State Senate,26
Seneca,Karen Gillmor,5183,Republican,State Senate,26
Union,Karen Gillmor,3963,Republican,State Senate,26
Wyandot,Karen Gillmor,1234,Republican,State Senate,26
Crawford,Steve Reinhard,3053,Republican,State Senate,26
Logan,Steve Reinhard,2650,Republican,State Senate,26
Marion,Steve Reinhard,3096,Republican,State Senate,26
Ottawa,Steve Reinhard,186,Republican,State Senate,26
Sandusky,Steve Reinhard,1721,Republican,State Senate,26
Seneca,Steve Reinhard,1571,Republican,State Senate,26
Union,Steve Reinhard,3148,Republican,State Senate,26
Wyandot,Steve Reinhard,1757,Republican,State Senate,26
Portage,James R. Carr,6666,Republican,State Senate,28
Summit,James R. Carr,7054,Republican,State Senate,28
Belmont,Tim Ginter,2800,Republican,State Senate,30
Columbiana,Tim Ginter,7089,Republican,State Senate,30
Harrison,Tim Ginter,992,Republican,State Senate,30
Jefferson,Tim Ginter,3411,Republican,State Senate,30
Tuscarawas,Tim Ginter,4209,Republican,State Senate,30
